time_s,temp_C
507.56,46.30
508.06,46.43
508.56,46.17
509.06,46.28
509.56,46.15
510.06,46.39
510.56,46.39
511.06,46.22
511.56,46.27
512.06,46.34
512.56,46.37
513.06,46.32
513.56,46.49
514.06,46.31
514.56,46.49
515.06,46.24
515.56,46.20
516.06,46.41
516.56,46.40
517.06,46.33
517.56,46.38
518.06,46.36
518.56,46.27
519.06,46.47
519.56,46.37
520.06,46.57
520.56,46.22
521.06,46.33
521.56,46.34
522.06,46.34
522.56,46.42
523.06,46.33
523.56,46.47
524.06,46.28
524.56,46.26
525.06,46.36
525.56,46.38
526.06,46.25
526.56,46.51
527.06,46.38
527.56,46.37
528.06,46.40
528.56,46.64
529.06,46.25
529.56,46.38
530.06,46.25
530.56,46.31
531.06,46.55
531.56,46.66
532.06,46.43
532.56,46.54
533.06,46.56
533.56,46.50
534.06,46.63
534.56,46.27
535.06,46.50
535.56,46.29
536.06,46.57
536.56,46.40
537.06,46.56
537.56,46.43
538.06,46.52
538.56,46.38
539.06,46.62
539.56,46.49
540.06,46.54
540.56,46.45
541.06,46.64
541.56,46.34
542.06,46.48
542.56,46.35
543.06,46.51
543.56,46.51
544.06,46.52
544.56,46.40
545.06,46.41
545.56,46.32
546.06,46.49
546.56,46.59
547.06,46.44
547.56,46.49
548.06,46.65
548.56,46.43
549.06,46.59
549.56,46.42
550.06,46.56
550.56,46.62
551.06,46.54
551.56,46.42
552.06,46.52
552.56,46.50
553.06,46.40
553.56,46.56
554.06,46.43
554.56,46.66
555.06,46.33
555.56,46.52
556.06,46.47
556.56,46.41
557.06,46.88
557.56,46.55
558.06,46.69
558.56,46.42
559.06,46.66
559.56,46.60
560.06,46.48
560.56,46.67
561.06,46.54
561.56,46.45
562.06,46.57
562.56,46.43
563.06,46.61
563.56,46.46
564.06,46.33
564.56,46.59
565.06,46.64
565.56,46.49
566.06,46.50
566.56,46.54
567.06,46.53
567.56,46.54
568.06,46.57
568.56,46.57
569.06,46.56
569.56,46.57
570.06,46.69
570.56,46.62
571.06,46.58
571.56,46.51
572.06,46.50
